Party	Position	Name	Text
더불어민주당	위원장	박광온	의석을 정돈해 주시기 바랍니다. 성원이 되었으므로 제397회 국회(임시회) 제1차 법제사법위원회를 개회하겠습니다. 오늘 회의는 우리 위원회가 지난 4월 26일에 의결해서 5월 4일, 오늘 실시하기로 한 국무위원후보자(법무부장관 한동훈) 인사청문회를 5월 9일로 변경하는 것과 증인・참고인 출석요구의 건을 의결하고자 합니다. 구체적인 안건명은 나눠 드린 유인물을 참고해 주시기 바랍니다. 회의장에 계신 모든 분들은 방역수칙을 준수해 주시기 바랍니다. 의사일정에 들어가기에 앞서 우리 위원회에 새로 보임하신 위원님을 소개해 드리겠습니다. 4월 28일 자로 한기호 위원님, 김형동 위원님께서 우리 위원회에서 사임하시고 윤한홍 위원님, 장제원 위원님께서 보임되셨습니다. 그리고 4월 29일 자로 김진표 위원님께서 우리 위원회에서 사임하시고 김종민 위원님께서 보임되셨습니다. 세 분 위원님께서는 잠시 사보임을 하셨기 때문에 인사는 생략하겠습니다. 양해해 주시기 바랍니다. 바로 의사일정에 들어가겠습니다. 
더불어민주당	위원장	박광온	의사일정 제1항 국무위원후보자(법무부장관 한동훈) 인사청문요청안과 제2항 국무위원후보자(법무부장관 한동훈) 인사청문회 실시계획서 변경의 건을 일괄해서 상정합니다. 이 안건은 우리 위원회가 당초 오늘 실시하려고 했던 법무부장관후보자 인사청문회를 위원장과 간사님들 간의 협의를 거쳐 의석 노트북에 게재한 인사청문회 실시계획서 변경안과 같이 5월 9일로 변경하려는 것입니다. 이와 관련해서 의견 갖고 계시면 말씀해 주시기 바랍니다.
더불어민주당	위원	송기헌	위원장님.
더불어민주당	위원장	박광온	송기헌 위원님.
더불어민주당	위원	송기헌	여러 가지로 두 간사님께서 수고를 많이 하셨는데요. 지금 인사청문회 실시계획서 변경의 건을 보면 인사청문 기일을 9일로 변경하는 것으로 그렇게 아마 하시는 것 같습니다. 9일로 변경하게 된 것은 오늘 증인 및 참고인에 관해서 저희들이 결의하면 증인・참고인 소환에 요구되는 5일의 기간 때문에 아마 9일로 하는 것 같은데, 잠정적으로 증인으로 합의된 사람 중에서 국민의힘에서 신청했다고 하는 김경율이라는 분에 대해서 증인으로 신청되는 것은 저는 반대하겠습니다. 김경율이라는 분, 사회 활동을 많이 하시는 분인데요. 최근에, 바로 어제 같은데 이분이 SNS에 쓴 걸 보면―죄송합니다. 우리 동료 위원님 이름을 거론해서 죄송한데요―이렇게 썼습니다. ‘본인 김경율은 사실 확인을 제대로 하지 않고, 특정 단어로 확증편향을 가진 후 최강욱 으원놈 아’ 이런 얘기를 SNS에 썼습니다.
더불어민주당	위원장	박광온	송기헌 위원님, 우선 이 계획서를 의결하시고 그다음에 증인 관련해서는……
더불어민주당	위원	송기헌	아니, 계획서를 의결하는 전제가 증인 합의가 되는 걸 전제로 하는 건데 김경율 같은 분을 우리 국회에 세우는 것은 우리 국회 스스로 자신을 비하하는 거라고 생각합니다. 저는 김경율이라는 분을, 이분이 많이 활동하시고 전문적인 능력도 있다고 볼 수 있겠지만 이렇게 공개적으로 의원한테 욕을 하는 분을 국회의 증인으로 세울 수 없다고 생각합니다. 그러면 증인 합의가 안 된 상태에서 9일을 청문 기일로 하는 데서 저는 찬성할 수가 없습니다.
더불어민주당	위원장	박광온	이렇게 하시지요.
더불어민주당	위원	송기헌	간사님들께서 다시 한번 증인에 대한 협의를 하시고 날짜를 잡아 주시기를 부탁드리겠습니다. 이상입니다.
더불어민주당	위원	김종민	맞는 얘기네요, 보니까. 증인 신청 안 하고 그냥…… 찬성.
